iter	Passed	Remaining
283	4770	12027
284	4784	12004
285	4799	11983
286	4814	11960
287	4829	11938
288	4843	11916
289	4858	11894
290	4872	11872
291	4887	11850
292	4901	11828
293	4916	11807
294	4931	11784
295	4946	11764
296	4961	11744
297	4976	11722
298	4990	11701
299	5005	11679
300	5020	11659
301	5036	11640
302	5051	11619
303	5066	11599
304	5082	11580
305	5097	11560
306	5111	11539
307	5127	11520
308	5144	11504
309	5161	11489
310	5178	11473
311	5196	11458
312	5211	11438
313	5226	11419
314	5241	11398
315	5256	11378
316	5271	11357
317	5287	11338
318	5301	11318
319	5316	11296
320	5334	11282
321	5349	11263
322	5365	11246
323	5382	11229
324	5397	11210
325	5413	11192
326	5428	11172
327	5442	11151
328	5456	11129
329	5471	11107
330	5485	11086
331	5498	11063
332	5513	11043
333	5527	11022
334	5542	11002
335	5556	10980
336	5570	10959
337	5585	10939
338	5600	10919
339	5614	10898
340	5629	10878
341	5643	10857
342	5657	10837
343	5673	10818
344	5687	10797
345	5701	10776
346	5715	10755
347	5729	10734
348	5743	10714
349	5758	10695
350	5774	10676
351	5789	10657
352	5804	10638
353	5819	10619
354	5834	10601
355	5849	10581
356	5864	10563
357	5879	10542
358	5893	10523
359	5908	10503
360	5922	10483
361	5936	10463
362	5952	10444
363	5966	10425
364	5980	10405
365	5995	10385
366	6009	10365
367	6023	10344
368	6038	10325
369	6052	10306
370	6067	10286
371	6081	10266
372	6096	10247
373	6110	10227
374	6124	10207
375	6139	10189
376	6153	10169
377	6168	10150
378	6182	10130
379	6196	10110
380	6210	10090
381	6224	10070
382	6239	10052
383	6253	10032
384	6268	10013
385	6282	9994
386	6297	9975
387	6314	9960
388	6329	9942
389	6345	9925
390	6360	9906
391	6375	9888
392	6390	9870
393	6405	9852
394	6420	9833
395	6435	9815
396	6449	9796
397	6464	9777
398	6478	9758
399	6493	9740
400	6508	9721
401	6522	9702
402	6536	9683
403	6551	9664
404	6565	9644
405	6579	9625
406	6593	9606
407	6608	9588
408	6622	9569
409	6636	9550
410	6651	9532
411	6665	9513
412	6698	9521
413	6743	9545
414	6758	9527
415	6772	9506
416	6786	9488
417	6800	9468
418	6815	9451
419	6830	9432
420	6843	9411
421	6857	9392
422	6872	9374
423	6886	9355
424	6901	9337
425	6915	9318
426	6930	9300
427	6945	9282
428	6959	9263
429	6977	9248
430	6992	9231
431	7007	9213
432	7021	9195
433	7036	9176
434	7051	9159
435	7066	9141
436	7082	9123
437	7097	9106
438	7111	9088
439	7126	9069
440	7140	9051
441	7155	9033
442	7169	9014
443	7183	8995
444	7197	8976
445	7211	8958
446	7226	8939
447	7240	8920
448	7254	8902
449	7268	8884
450	7283	8866
451	7297	8847
452	7312	8829
453	7330	8816
454	7347	8800
455	7363	8784
456	7379	8767
457	7396	8753
458	7411	8735
459	7426	8718
460	7441	8700
461	7456	8683
462	7470	8664
463	7485	8647
464	7500	8629
465	7515	8612
466	7530	8594
467	7544	8576
468	7559	8559
469	7574	8540
470	7589	8524
471	7604	8507
472	7620	8490
473	7635	8472
474	7649	8454
475	7662	8435
476	7677	8417
477	7692	8400
478	7706	8381
479	7720	8364
480	7734	8345
481	7749	8328
482	7763	8310
483	7778	8292
484	7793	8275
485	7808	8257
486	7822	8239
487	7837	8222
488	7851	8205
489	7866	8187
490	7881	8170
491	7896	8152
492	7910	8135
493	7925	8118
494	7939	8100
495	7953	8082
496	7969	8065
497	7983	8047
498	7998	8030
499	8013	8013
500	8028	7996
501	8043	7979
502	8058	7962
503	8072	7944
504	8088	7928
505	8103	7911
506	8118	7894
507	8132	7876
508	8147	7859
509	8163	7843
510	8178	7826
511	8192	7808
512	8207	7791
513	8221	7774
514	8236	7756
515	8250	7739
516	8264	7721
517	8278	7703
518	8293	7685
519	8310	7671
520	8326	7655
521	8341	7638
522	8357	7622
523	8373	7606
524	8387	7588
525	8401	7570
526	8415	7553
527	8429	7535
528	8444	7518
529	8458	7501
530	8474	7484
531	8489	7467
532	8504	7451
533	8518	7434
534	8533	7416
535	8548	7400
536	8562	7382
537	8578	7366
538	8593	7350
539	8608	7333
540	8624	7316
541	8639	7300
542	8655	7284
543	8673	7270
544	8688	7253
545	8702	7236
546	8717	7219
547	8732	7202
548	8746	7185
549	8761	7168
550	8775	7150
551	8790	7134
552	8804	7116
553	8817	7098
554	8832	7081
555	8846	7064
556	8861	7047
557	8875	7030
558	8890	7013
559	8904	6996
560	8919	6979
561	8933	6962
562	8948	6945
563	8963	6928
564	8977	6912
565	8992	6895
566	9007	6878
567	9021	6861
568	9037	6845
569	9051	6828
570	9066	6811
571	9081	6794
572	9095	6778
573	9110	6761
574	9125	6744
575	9139	6727
576	9153	6710
577	9168	6694
578	9183	6677
579	9197	6660
580	9212	6643
581	9227	6627
582	9242	6610
583	9256	6593
584	9270	6576
585	9289	6562
586	9305	6547
587	9320	6531
588	9336	6515
589	9352	6499
590	9367	6482
591	9382	6466
592	9397	6449
593	9411	6432
594	9426	6416
595	9440	6399
596	9455	6383
597	9471	6366
598	9486	6350
599	9500	6333
600	9514	6316
601	9528	6299
602	9543	6283
603	9558	6266
604	9572	6249
605	9587	6233
606	9601	6216
607	9616	6200
608	9630	6183
609	9645	6166
610	9660	6150
611	9674	6133
612	9689	6116
613	9703	6100
614	9718	6083
615	9731	6066
616	9746	6050
617	9760	6033
618	9775	6016
619	9789	5999
620	9803	5982
621	9818	5966
622	9833	5950
623	9847	5933
624	9862	5917
625	9876	5900
626	9891	5884
627	9906	5868
628	9921	5851
629	9936	5835
630	9950	5819
631	9965	5802
632	9980	5786
633	9994	5769
634	10009	5753
635	10023	5736
636	10038	5720
637	10053	5704
638	10067	5687
639	10082	5671
640	10097	5655
641	10112	5638
642	10127	5622
643	10141	5606
644	10156	5590
645	10171	5573
646	10186	5557
647	10201	5541
648	10215	5525
649	10230	5508
650	10244	5492
651	10261	5477
652	10277	5461
653	10295	5447
654	10312	5431
655	10327	5415
656	10342	5399
657	10358	5384
658	10374	5368
659	10388	5351
660	10403	5335
661	10417	5318
662	10432	5302
663	10446	5286
664	10460	5269
665	10474	5253
666	10489	5236
667	10503	5220
668	10517	5203
669	10544	5193
670	10558	5177
671	10573	5160
672	10587	5144
673	10602	5127
674	10617	5112
675	10632	5096
676	10647	5079
677	10662	5063
678	10676	5047
679	10690	5031
680	10704	5014
681	10719	4998
682	10733	4981
683	10748	4965
684	10763	4949
685	10777	4933
686	10792	4917
687	10807	4901
688	10822	4885
689	10837	4868
690	10852	4852
691	10866	4836
692	10881	4820
693	10897	4804
694	10912	4789
695	10927	4772
696	10941	4756
697	10956	4740
698	10970	4724
699	10984	4707
700	10999	4691
701	11014	4675
702	11028	4659
703	11043	4643
704	11058	4627
705	11079	4613
706	11095	4598
707	11109	4581
708	11123	4565
709	11138	4549
710	11153	4533
711	11167	4517
712	11182	4501
713	11196	4485
714	11211	4468
715	11226	4452
716	11244	4438
717	11260	4422
718	11276	4407
719	11292	4391
720	11308	4375
721	11323	4359
722	11337	4343
723	11352	4327
724	11366	4311
725	11381	4295
726	11395	4279
727	11410	4263
728	11425	4247
729	11439	4231
730	11454	4215
731	11470	4199
732	11485	4183
733	11499	4167
734	11514	4151
735	11528	4135
736	11543	4119
737	11558	4103
738	11573	4087
739	11588	4071
740	11602	4055
741	11616	4039
742	11631	4023
743	11645	4007
744	11660	3991
745	11674	3975
746	11689	3959
747	11704	3943
748	11719	3927
749	11734	3911
750	11749	3895
751	11765	3879
752	11780	3864
753	11794	3848
754	11809	3832
755	11825	3816
756	11839	3800
757	11854	3784
758	11869	3768
759	11884	3752
760	11899	3737
761	11914	3721
762	11929	3705
763	11944	3689
764	11959	3673
765	11973	3657
766	11988	3641
767	12003	3626
768	12018	3610
769	12035	3595
770	12053	3580
771	12068	3564
772	12083	3548
773	12098	3532
774	12113	3516
775	12127	3500
776	12142	3484
777	12157	3469
778	12172	3453
779	12186	3437
780	12201	3421
781	12219	3406
782	12235	3390
783	12250	3375
784	12265	3359
785	12281	3343
786	12297	3328
787	12312	3312
788	12327	3296
789	12342	3280
790	12357	3265
791	12371	3249
792	12386	3233
793	12401	3217
794	12415	3201
795	12430	3185
796	12445	3170
797	12460	3154
798	12474	3138
799	12489	3122
800	12505	3106
801	12519	3090
802	12534	3075
803	12549	3059
804	12564	3043
805	12577	3027
806	12592	3011
807	12606	2995
808	12622	2979
809	12636	2964
810	12650	2948
811	12665	2932
812	12680	2916
813	12695	2900
814	12710	2885
815	12725	2869
816	12739	2853
817	12754	2837
818	12768	2821
819	12783	2806
820	12797	2790
821	12812	2774
822	12825	2758
823	12839	2742
824	12853	2726
825	12868	2710
826	12883	2695
827	12898	2679
828	12912	2663
829	12927	2647
830	12941	2631
831	12956	2616
832	12970	2600
833	12985	2584
834	12999	2568
835	13014	2553
836	13028	2537
837	13043	2521
838	13057	2505
839	13071	2489
840	13086	2474
841	13102	2458
842	13118	2443
843	13132	2427
844	13147	2411
845	13161	2395
846	13175	2380
847	13190	2364
848	13209	2349
849	13224	2333
850	13240	2318
851	13256	2302
852	13271	2287
853	13285	2271
854	13300	2255
855	13314	2239
856	13329	2224
857	13345	2208
858	13359	2192
859	13374	2177
860	13389	2161
861	13403	2145
862	13418	2130
863	13433	2114
864	13447	2098
865	13462	2083
866	13476	2067
867	13491	2051
868	13506	2036
869	13521	2020
870	13536	2004
871	13550	1989
872	13565	1973
873	13580	1957
874	13595	1942
875	13610	1926
876	13626	1911
877	13641	1895
878	13655	1879
879	13670	1864
880	13684	1848
881	13699	1832
882	13713	1817
883	13728	1801
884	13743	1785
885	13758	1770
886	13772	1754
887	13787	1738
888	13801	1723
889	13816	1707
890	13831	1692
891	13845	1676
892	13863	1661
893	13877	1645
894	13892	1629
895	13906	1614
896	13921	1598
897	13934	1582
898	13952	1567
899	13968	1552
900	13983	1536
901	13997	1520
902	14011	1505
903	14025	1489
904	14039	1473
905	14053	1458
906	14068	1442
907	14082	1426
908	14097	1411
909	14112	1395
910	14127	1380
911	14141	1364
912	14156	1348
913	14169	1333
914	14183	1317
915	14202	1302
916	14218	1286
917	14233	1271
918	14249	1255
919	14264	1240
920	14278	1224
921	14293	1209
922	14308	1193
923	14322	1178
924	14337	1162
925	14353	1147
926	14368	1131
927	14382	1115
928	14396	1100
929	14411	1084
930	14425	1069
931	14440	1053
932	14454	1037
933	14468	1022
934	14482	1006
935	14497	991
936	14511	975
937	14526	960
938	14544	944
939	14560	929
940	14577	913
941	14595	898
942	14609	883
943	14624	867
944	14638	851
945	14653	836
946	14668	820
947	14682	805
948	14697	789
949	14712	774
950	14727	758
951	14742	743
952	14757	727
953	14772	712
954	14786	696
955	14801	681
956	14814	665
957	14829	650
958	14844	634
959	14858	619
960	14873	603
961	14887	588
962	14903	572
963	14918	557
964	14932	541
965	14947	526
966	14961	510
967	14976	495
968	14991	479
969	15005	464
970	15020	448
971	15034	433
972	15049	417
973	15063	402
974	15078	386
975	15094	371
976	15109	355
977	15123	340
978	15138	324
979	15152	309
980	15168	293
981	15186	278
982	15202	262
983	15217	247
984	15233	231
985	15249	216
986	15265	201
987	15280	185
988	15295	170
989	15310	154
990	15324	139
991	15339	123
992	15354	108
993	15369	92
994	15384	77
995	15399	61
996	15414	46
997	15429	30
998	15443	15
999	15458	0
